WarehouseName,BinName,LastUpdatedOn,QtyAvailable,ProductID,IsPrimary,UnitCapacity,RegionName,LastUpdatedBy,LocationType
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,MJLQ2LL/A-16/256-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,MJLQ2LL/A-16/256-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,ME665LL/A-16/512-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,ME665LL/A-16/512-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,MGX82LL/A-8/256-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:19 PM,0,MGX82LL/A-8/256-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:13 PM,0,MF839LL/A-8/128-C,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:13 PM,0,MF839LL/A-8/128-C,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:13 PM,0,MJVE2LL/A-4/128-C,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:13 PM,0,MJVE2LL/A-4/128-C,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:08 PM,0,Ear Pods with Lightning Connector,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:08 PM,0,Ear Pods with Lightning Connector,0,10000,DFR-258,,Known
E ROGER,B-2-F-3,2/9/2022 1:08 PM,3,MJLQ2LL/A-16/256-B,0,10,Default Region,,Known
E ROGER,B-2-F-3,2/9/2022 1:08 PM,3,MJLQ2LL/A-16/256-B,0,10,DFR-258,,Known
E ROGER,B-1-C-2,2/9/2022 1:07 PM,4,MGX82LL/A-8/256-B,0,10,Default Region,,Known
E ROGER,B-1-C-2,2/9/2022 1:07 PM,4,MGX82LL/A-8/256-B,0,10,DFR-258,,Known
E ROGER,A-3-C-4,2/9/2022 1:07 PM,2,ME665LL/A-16/512-B,0,5,Default Region,,Known
E ROGER,A-3-C-4,2/9/2022 1:07 PM,2,ME665LL/A-16/512-B,0,5,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MGXA2LL/A-16/512-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MGXA2LL/A-16/512-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MJLT2LL/A-16/512-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MJLT2LL/A-16/512-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MGXC2LL/A-16/512-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/9/2022 1:05 PM,0,MGXC2LL/A-16/512-B,0,10000,DFR-258,,Known
E ROGER,A-8-D-2,2/9/2022 9:31 AM,0,MF839LL/A-8/128-C,0,10,Default Region,,Known
E ROGER,A-8-D-2,2/9/2022 9:31 AM,0,MF839LL/A-8/128-C,0,10,DFR-258,,Known
E ROGER,B-2-G-7,2/9/2022 9:30 AM,8,MGXC2LL/A-16/512-B,0,10,Default Region,,Known
E ROGER,B-2-G-7,2/9/2022 9:30 AM,8,MGXC2LL/A-16/512-B,0,10,DFR-258,,Known
E ROGER,B-2-D-6,2/9/2022 9:30 AM,3,MGXA2LL/A-16/512-B,0,10,Default Region,,Known
E ROGER,B-2-D-6,2/9/2022 9:30 AM,3,MGXA2LL/A-16/512-B,0,10,DFR-258,,Known
E ROGER,B-2-D-2,2/9/2022 9:29 AM,2644,Ear Pods with Lightning Connector,0,10,Default Region,,Known
E ROGER,B-2-D-2,2/9/2022 9:29 AM,2644,Ear Pods with Lightning Connector,0,10,DFR-258,,Known
E ROGER,A-6-G-7,2/9/2022 9:28 AM,1,MJLT2LL/A-16/512-B,0,5,Default Region,,Known
E ROGER,A-6-G-7,2/9/2022 9:28 AM,1,MJLT2LL/A-16/512-B,0,5,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/8/2022 4:16 PM,0,MLH12LL/A-8/256-GRAY-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/8/2022 4:16 PM,0,MLH12LL/A-8/256-GRAY-B,0,10000,DFR-258,,Known
E ROGER,B-2-C-4,2/8/2022 2:48 PM,5,MLH12LL/A-8/256-GRAY-B,0,10,Default Region,,Known
E ROGER,B-2-C-4,2/8/2022 2:48 PM,5,MLH12LL/A-8/256-GRAY-B,0,10,DFR-258,,Known
E ROGER,B-1-F-5,2/8/2022 9:34 AM,2,MJVE2LL/A-4/128-C,0,10,Default Region,,Known
E ROGER,B-1-F-5,2/8/2022 9:34 AM,2,MJVE2LL/A-4/128-C,0,10,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MD761LL/B-4/256-D,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MD761LL/B-4/256-D,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MJVE2LL/A-4/256-C-BATTERY,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MJVE2LL/A-4/256-C-BATTERY,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MJVE2LL/A-8/256-C,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MJVE2LL/A-8/256-C,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MNYF2LL/A-8/256-GOLD-C,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MNYF2LL/A-8/256-GOLD-C,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MD760LL/A-4/128-C,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 2:18 PM,0,MD760LL/A-4/128-C,0,10000,DFR-258,,Known
E ROGER,B-1-B-1,2/7/2022 11:55 AM,5,MJVE2LL/A-4/128-C,0,10,Default Region,,Known
E ROGER,B-1-B-1,2/7/2022 11:55 AM,5,MJVE2LL/A-4/128-C,0,10,DFR-258,,Known
E ROGER,A-4-E-1,2/7/2022 11:55 AM,8,MD760LL/A-4/128-C,0,10,Default Region,,Known
E ROGER,A-4-E-1,2/7/2022 11:55 AM,8,MD760LL/A-4/128-C,0,10,DFR-258,,Known
E ROGER,B-1-E-8,2/7/2022 11:54 AM,1,MNYF2LL/A-8/256-GOLD-C,0,10,Default Region,,Known
E ROGER,B-1-E-8,2/7/2022 11:54 AM,1,MNYF2LL/A-8/256-GOLD-C,0,10,DFR-258,,Known
E ROGER,B-1-C-8,2/7/2022 11:54 AM,0,MJVE2LL/A-8/256-C,0,10,Default Region,,Known
E ROGER,B-1-C-8,2/7/2022 11:54 AM,0,MJVE2LL/A-8/256-C,0,10,DFR-258,,Known
E ROGER,A-5-E-2,2/7/2022 11:53 AM,5,MJVE2LL/A-4/128-C,0,10,Default Region,,Known
E ROGER,A-5-E-2,2/7/2022 11:53 AM,5,MJVE2LL/A-4/128-C,0,10,DFR-258,,Known
E ROGER,A-3-B-3,2/7/2022 11:52 AM,0,MD761LL/B-4/256-D,0,5,Default Region,,Known
E ROGER,A-3-B-3,2/7/2022 11:52 AM,0,MD761LL/B-4/256-D,0,5,DFR-258,,Known
E ROGER,A-2-D-3,2/7/2022 11:51 AM,2,MJVE2LL/A-4/256-C-BATTERY,0,10,Default Region,,Known
E ROGER,A-2-D-3,2/7/2022 11:51 AM,2,MJVE2LL/A-4/256-C-BATTERY,0,10,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MPXV2LL/A-8/256-GRAY-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MPXV2LL/A-8/256-GRAY-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MNYF2LL/A-8/256-GRAY-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MNYF2LL/A-8/256-GRAY-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,ME664LL/A-8/256-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,ME664LL/A-8/256-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MGX92LL/A-8/512-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MGX92LL/A-8/512-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,ME293LL/A-8/256-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,ME293LL/A-8/256-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MWTJ2LL/A-8/256-ROSE-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MWTJ2LL/A-8/256-ROSE-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MJVE2LL/A-8/128-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MJVE2LL/A-8/128-B,0,10000,DFR-258,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MWTJ2LL/A-8/256-GRAY-B,0,10000,Default Region,,Known
E ROGER,PickingBin-Warehouse-258,2/7/2022 11:00 AM,0,MWTJ2LL/A-8/256-GRAY-B,0,10000,DFR-258,,Known
E ROGER,B-1-G-3,2/7/2022 9:29 AM,5,MGX82LL/A-8/256-B,0,10,Default Region,,Known
E ROGER,B-1-G-3,2/7/2022 9:29 AM,5,MGX82LL/A-8/256-B,0,10,DFR-258,,Known
E ROGER,B-2-D-4,2/7/2022 9:27 AM,2,MJVE2LL/A-8/128-B,0,10,Default Region,,Known
E ROGER,B-2-D-4,2/7/2022 9:27 AM,2,MJVE2LL/A-8/128-B,0,10,DFR-258,,Known
E ROGER,A-9-D-5,2/7/2022 9:25 AM,0,MGX92LL/A-8/512-B,0,5,Default Region,,Known
E ROGER,A-9-D-5,2/7/2022 9:25 AM,0,MGX92LL/A-8/512-B,0,5,DFR-258,,Known
E ROGER,A-7-F-2,2/7/2022 9:25 AM,1,MPXV2LL/A-8/256-GRAY-B,0,10,Default Region,,Known
E ROGER,A-7-F-2,2/7/2022 9:25 AM,1,MPXV2LL/A-8/256-GRAY-B,0,10,DFR-258,,Known
E ROGER,A-6-B-4,2/7/2022 9:24 AM,1,ME664LL/A-8/256-B,0,5,Default Region,,Known
E ROGER,A-6-B-4,2/7/2022 9:24 AM,1,ME664LL/A-8/256-B,0,5,DFR-258,,Known
E ROGER,A-3-F-7,2/7/2022 9:24 AM,0,MWTJ2LL/A-8/256-ROSE-B,0,5,Default Region,,Known
